fatality_count,Month,Year,event_date,Landslide_Amt,Fatality count,Landslide Count,,Month_Names,Months,Landslides per month,Death per month,,Years,Landslides per year
,7,2008,7/5/2008,171,,,,,,,,,,
,7,2008,7/15/2008,172,,,,,,,,,,
,12,2008,12/26/2008,173,,,,,,,,,,
,5,2008,5/9/2008,174,,,,,,,,,,
,1,2008,1/19/2008,175,,,,,,,,,,
,12,2008,12/31/2008,176,,,,,,,,,,
,6,2008,6/8/2008,177,,,,,,,,,,
,5,2008,5/20/2008,178,,,,,,,,,,
,3,2008,3/6/2008,179,,,,,,,,,,
,7,2008,7/13/2008,180,,,,,,,,,,
,4,2008,4/11/2008,181,,,,,,,,,,
,3,2008,3/28/2008,182,,,,,,,,,,
,2,2008,2/11/2008,183,,,,,,,,,,
,2,2008,2/5/2008,184,,,,,,,,,,
,11,2008,11/12/2008,185,,,,,,,,,,
0,7,2008,7/3/2008,186,,,,,,,,,,
,2,2008,2/16/2008,187,,,,,,,,,,
,12,2008,12/11/2008,188,,,,,,,,,,
,9,2008,9/6/2008,189,,,,,,,,,,
0,1,2009,1/8/2009,190,,,,,,,,,,
0,1,2009,1/7/2009,191,,,,,,,,,,
0,4,2009,4/15/2009,192,,,,,,,,,,
0,11,2009,11/27/2009,193,,,,,,,,,,
0,2,2009,2/6/2009,194,,,,,,,,,,
0,1,2009,1/3/2009,195,,,,,,,,,,
0,11,2009,11/17/2009,196,,,,,,,,,,
0,4,2009,4/8/2009,197,,,,,,,,,,
0,4,2009,4/7/2009,198,,,,,,,,,,
0,11,2009,11/17/2009,199,,,,,,,,,,
,9,2009,9/21/2009,200,,,,,,,,,,
0,11,2009,11/27/2009,201,,,,,,,,,,
0,11,2009,11/14/2009,202,,,,,,,,,,
0,12,2009,12/12/2009,203,,,,,,,,,,
,9,2009,9/22/2009,204,,,,,,,,,,
0,1,2009,1/7/2009,205,,,,,,,,,,
0,1,2009,1/7/2009,206,,,,,,,,,,
0,7,2009,7/31/2009,207,,,,,,,,,,
0,11,2009,11/16/2009,208,,,,,,,,,,
,9,2009,9/20/2009,209,,,,,,,,,,
0,11,2009,11/18/2009,210,,,,,,,,,,
0,11,2009,11/16/2009,211,,,,,,,,,,
0,11,2009,11/22/2009,212,,,,,,,,,,
1,11,2009,11/20/2009,213,,,,,,,,,,
0,1,2009,1/7/2009,214,,,,,,,,,,
0,4,2009,4/11/2009,215,,,,,,,,,,
0,2,2009,2/17/2009,216,,,,,,,,,,
0,11,2009,11/14/2009,217,,,,,,,,,,
0,5,2009,5/30/2009,218,,,,,,,,,,
0,1,2009,1/1/2009,219,,,,,,,,,,
,9,2009,9/11/2009,220,,,,,,,,,,
0,10,2009,10/10/2009,221,,,,,,,,,,
0,1,2009,1/2/2009,222,,,,,,,,,,
0,5,2009,5/8/2009,223,,,,,,,,,,
3,6,2009,6/11/2009,224,,,,,,,,,,
0,8,2009,8/19/2009,225,,,,,,,,,,
0,4,2009,4/14/2009,226,,,,,,,,,,
0,8,2009,8/25/2009,227,,,,,,,,,,
0,8,2009,8/24/2009,228,,,,,,,,,,
0,12,2009,12/18/2009,229,,,,,,,,,,
,10,2009,10/17/2009,230,,,,,,,,,,
0,11,2009,11/10/2009,231,,,,,,,,,,
,5,2009,5/11/2009,232,,,,,,,,,,
0,4,2009,4/24/2009,233,,,,,,,,,,
0,4,2009,4/20/2009,234,,,,,,,,,,
0,4,2009,4/23/2009,235,,,,,,,,,,
0,1,2009,1/7/2009,236,,,,,,,,,,
0,6,2009,6/18/2009,237,,,,,,,,,,
0,6,2009,6/21/2009,238,,,,,,,,,,
0,5,2009,5/8/2009,239,,,,,,,,,,
,9,2009,9/21/2009,240,,,,,,,,,,
0,10,2009,10/8/2009,241,,,,,,,,,,
0,12,2009,12/13/2009,242,,,,,,,,,,
0,6,2009,6/19/2009,243,,,,,,,,,,
,9,2009,9/20/2009,244,,,,,,,,,,
0,8,2009,8/15/2009,245,,,,,,,,,,
0,1,2009,1/8/2009,246,,,,,,,,,,
0,12,2009,12/9/2009,247,,,,,,,,,,
0,4,2009,4/11/2009,248,,,,,,,,,,
0,11,2009,11/12/2009,249,,,,,,,,,,
0,4,2009,4/20/2009,250,,,,,,,,,,
0,1,2009,1/7/2009,251,,,,,,,,,,
0,11,2009,11/17/2009,252,,,,,,,,,,
1,5,2009,5/17/2009,253,,,,,,,,,,
0,12,2009,12/9/2009,254,,,,,,,,,,
0,3,2009,3/21/2009,255,,,,,,,,,,
0,4,2009,4/15/2009,256,,,,,,,,,,
0,5,2009,5/4/2009,257,,,,,,,,,,
,9,2009,9/26/2009,258,,,,,,,,,,
0,8,2009,8/20/2009,259,,,,,,,,,,
,9,2009,9/22/2009,260,,,,,,,,,,
0,10,2009,10/13/2009,261,,,,,,,,,,
,9,2009,9/21/2009,262,,,,,,,,,,
0,4,2009,4/15/2009,263,,,,,,,,,,
,9,2009,9/21/2009,264,,,,,,,,,,
0,10,2009,10/16/2009,265,,,,,,,,,,
0,3,2009,3/10/2009,266,,,,,,,,,,
0,11,2009,11/16/2009,267,,,,,,,,,,
,9,2009,9/26/2009,268,,,,,,,,,,
0,12,2009,12/9/2009,269,,,,,,,,,,
0,1,2009,1/8/2009,270,,,,,,,,,,
0,10,2009,10/13/2009,271,,,,,,,,,,
0,11,2009,11/17/2009,272,,,,,,,,,,
0,11,2009,11/16/2009,273,,,,,,,,,,
3,7,2009,7/11/2009,274,,,,,,,,,,
0,1,2009,1/13/2009,275,,,,,,,,,,
0,10,2009,10/14/2009,276,,,,,,,,,,
0,10,2009,10/31/2009,277,,,,,,,,,,
0,7,2009,7/29/2009,278,,,,,,,,,,
0,12,2009,12/12/2009,279,,,,,,,,,,
0,10,2009,10/12/2009,280,,,,,,,,,,
0,5,2010,5/3/2010,281,,,,,,,,,,
0,12,2010,12/22/2010,282,,,,,,,,,,
0,9,2010,9/30/2010,283,,,,,,,,,,
0,1,2010,1/14/2010,284,,,,,,,,,,
0,8,2010,8/26/2010,285,,,,,,,,,,
0,3,2010,3/14/2010,286,,,,,,,,,,
0,12,2010,12/12/2010,287,,,,,,,,,,
0,12,2010,12/22/2010,288,,,,,,,,,,
0,5,2010,5/2/2010,289,,,,,,,,,,
0,12,2010,12/12/2010,290,,,,,,,,,,
0,12,2010,12/21/2010,291,,,,,,,,,,
0,2,2010,2/6/2010,292,,,,,,,,,,
0,12,2010,12/19/2010,293,,,,,,,,,,
0,12,2010,12/12/2010,294,,,,,,,,,,
0,1,2010,1/25/2010,295,,,,,,,,,,
0,6,2010,6/21/2010,296,,,,,,,,,,
0,12,2010,12/13/2010,297,,,,,,,,,,
0,10,2010,10/10/2010,298,,,,,,,,,,
0,12,2010,12/22/2010,299,,,,,,,,,,
0,5,2010,5/2/2010,300,,,,,,,,,,
0,12,2010,12/22/2010,301,,,,,,,,,,
0,2,2010,2/18/2010,302,,,,,,,,,,
0,1,2010,1/21/2010,303,,,,,,,,,,
0,5,2010,5/16/2010,304,,,,,,,,,,
0,12,2010,12/12/2010,305,,,,,,,,,,
0,8,2010,8/19/2010,306,,,,,,,,,,
0,12,2010,12/12/2010,307,,,,,,,,,,
0,2,2010,2/5/2010,308,,,,,,,,,,
0,8,2010,8/18/2010,309,,,,,,,,,,
0,2,2010,2/27/2010,310,,,,,,,,,,
0,12,2010,12/12/2010,311,,,,,,,,,,
0,5,2010,5/3/2010,312,,,,,,,,,,
0,6,2010,6/13/2010,313,,,,,,,,,,
0,3,2010,3/11/2010,314,,,,,,,,,,
0,7,2010,7/13/2010,315,,,,,,,,,,
0,4,2010,4/6/2010,316,,,,,,,,,,
0,5,2010,5/17/2010,317,,,,,,,,,,
0,12,2010,12/12/2010,318,,,,,,,,,,
0,12,2010,12/29/2010,319,,,,,,,,,,
0,1,2010,1/20/2010,320,,,,,,,,,,
0,1,2010,1/25/2010,321,,,,,,,,,,
0,1,2010,1/18/2010,322,,,,,,,,,,
0,12,2010,12/26/2010,323,,,,,,,,,,
0,2,2010,2/6/2010,324,,,,,,,,,,
0,3,2010,3/12/2010,325,,,,,,,,,,
0,7,2010,7/26/2010,326,,,,,,,,,,
0,9,2010,9/23/2010,327,,,,,,,,,,
0,1,2010,1/18/2010,328,,,,,,,,,,
0,6,2010,6/3/2010,329,,,,,,,,,,
0,3,2010,3/12/2010,330,,,,,,,,,,
0,4,2010,4/25/2010,331,,,,,,,,,,
0,12,2010,12/19/2010,332,,,,,,,,,,
,2,2010,2/5/2010,333,,,,,,,,,,
0,9,2010,9/3/2010,334,,,,,,,,,,
0,3,2010,3/12/2010,335,,,,,,,,,,
0,6,2010,6/7/2010,336,,,,,,,,,,
0,12,2010,12/19/2010,337,,,,,,,,,,
0,5,2010,5/2/2010,338,,,,,,,,,,
0,7,2010,7/20/2010,339,,,,,,,,,,
0,12,2010,12/13/2010,340,,,,,,,,,,
0,5,2010,5/3/2010,341,,,,,,,,,,
0,12,2010,12/28/2010,342,,,,,,,,,,
0,9,2010,9/29/2010,343,,,,,,,,,,
0,12,2010,12/22/2010,344,,,,,,,,,,
0,12,2010,12/30/2010,345,,,,,,,,,,
0,5,2010,5/3/2010,346,,,,,,,,,,
0,12,2010,12/22/2010,347,,,,,,,,,,
0,1,2010,1/24/2010,348,,,,,,,,,,
0,1,2010,1/20/2010,349,,,,,,,,,,
0,12,2010,12/12/2010,350,,,,,,,,,,
0,5,2010,5/2/2010,351,,,,,,,,,,
0,6,2010,6/7/2010,352,,,,,,,,,,
0,3,2010,3/30/2010,353,,,,,,,,,,
0,10,2010,10/19/2010,354,,,,,,,,,,
0,12,2010,12/1/2010,355,,,,,,,,,,
0,8,2010,8/19/2010,356,,,,,,,,,,
0,7,2010,7/13/2010,357,,,,,,,,,,
0,7,2010,7/31/2010,358,,,,,,,,,,
0,1,2010,1/24/2010,359,,,,,,,,,,
0,12,2010,12/30/2010,360,,,,,,,,,,
0,12,2010,12/10/2010,361,,,,,,,,,,
0,3,2010,3/26/2010,362,,,,,,,,,,
0,10,2010,10/20/2010,363,,,,,,,,,,
0,8,2010,8/5/2010,364,,,,,,,,,,
0,12,2010,12/22/2010,365,,,,,,,,,,
0,5,2010,5/2/2010,366,,,,,,,,,,
,12,2010,12/19/2010,367,,,,,,,,,,
0,12,2010,12/12/2010,368,,,,,,,,,,
0,1,2010,1/25/2010,369,,,,,,,,,,
0,12,2010,12/19/2010,370,,,,,,,,,,
0,1,2010,1/18/2010,371,,,,,,,,,,
0,3,2010,3/13/2010,372,,,,,,,,,,
0,9,2010,9/11/2010,373,,,,,,,,,,
0,12,2010,12/22/2010,374,,,,,,,,,,
0,7,2010,7/27/2010,375,,,,,,,,,,
0,5,2010,5/3/2010,376,,,,,,,,,,
0,12,2010,12/28/2010,377,,,,,,,,,,
0,12,2010,12/28/2010,378,,,,,,,,,,
0,8,2010,8/19/2010,379,,,,,,,,,,
0,12,2010,12/11/2010,380,,,,,,,,,,
0,12,2010,12/22/2010,381,,,,,,,,,,
0,12,2010,12/12/2010,382,,,,,,,,,,
0,8,2010,8/19/2010,383,,,,,,,,,,
0,3,2010,3/25/2010,384,,,,,,,,,,
0,2,2010,2/26/2010,385,,,,,,,,,,
0,12,2010,12/12/2010,386,,,,,,,,,,
0,5,2010,5/3/2010,387,,,,,,,,,,
0,1,2010,1/18/2010,388,,,,,,,,,,
0,12,2010,12/11/2010,389,,,,,,,,,,
0,5,2010,5/14/2010,390,,,,,,,,,,
0,3,2010,3/29/2010,391,,,,,,,,,,
0,5,2010,5/3/2010,392,,,,,,,,,,
0,5,2010,5/9/2010,393,,,,,,,,,,
0,6,2010,6/6/2010,394,,,,,,,,,,
0,5,2010,5/3/2010,395,,,,,,,,,,
0,7,2010,7/28/2010,396,,,,,,,,,,
0,12,2010,12/12/2010,397,,,,,,,,,,
0,9,2010,9/19/2010,398,,,,,,,,,,
0,3,2010,3/13/2010,399,,,,,,,,,,
0,12,2010,12/22/2010,400,,,,,,,,,,
0,1,2010,1/20/2010,401,,,,,,,,,,
0,3,2010,3/6/2010,402,,,,,,,,,,
0,1,2010,1/16/2010,403,,,,,,,,,,
0,12,2010,12/22/2010,404,,,,,,,,,,
0,12,2010,12/22/2010,405,,,,,,,,,,
0,1,2010,1/18/2010,406,,,,,,,,,,
0,12,2010,12/11/2010,407,,,,,,,,,,
0,1,2010,1/21/2010,408,,,,,,,,,,
0,1,2010,1/21/2010,409,,,,,,,,,,
0,12,2010,12/12/2010,410,,,,,,,,,,
0,8,2010,8/22/2010,411,,,,,,,,,,
0,2,2010,2/24/2010,412,,,,,,,,,,
0,8,2010,8/19/2010,413,,,,,,,,,,
0,5,2010,5/2/2010,414,,,,,,,,,,
0,8,2010,8/19/2010,415,,,,,,,,,,
0,8,2010,8/25/2010,416,,,,,,,,,,
0,1,2010,1/21/2010,417,,,,,,,,,,
0,12,2010,12/21/2010,418,,,,,,,,,,
0,12,2010,12/12/2010,419,,,,,,,,,,
0,3,2010,3/21/2010,420,,,,,,,,,,
0,1,2010,1/24/2010,421,,,,,,,,,,
0,12,2010,12/19/2010,422,,,,,,,,,,
0,6,2010,6/23/2010,423,,,,,,,,,,
0,12,2010,12/12/2010,424,,,,,,,,,,
0,2,2010,2/25/2010,425,,,,,,,,,,
0,8,2010,8/9/2010,426,,,,,,,,,,
0,6,2010,6/15/2010,427,,,,,,,,,,
0,12,2010,12/13/2010,428,,,,,,,,,,
0,12,2010,12/19/2010,429,,,,,,,,,,
,2,2010,2/6/2010,430,,,,,,,,,,
0,12,2010,12/12/2010,431,,,,,,,,,,
0,12,2010,12/12/2010,432,,,,,,,,,,
0,10,2010,10/24/2010,433,,,,,,,,,,
,2,2010,2/6/2010,434,,,,,,,,,,
0,8,2010,8/19/2010,435,,,,,,,,,,
0,3,2010,3/18/2010,436,,,,,,,,,,
0,12,2010,12/22/2010,437,,,,,,,,,,
0,5,2010,5/3/2010,438,,,,,,,,,,
0,8,2010,8/19/2010,439,,,,,,,,,,
0,12,2010,12/1/2010,440,,,,,,,,,,
0,5,2010,5/3/2010,441,,,,,,,,,,
0,5,2010,5/3/2010,442,,,,,,,,,,
0,1,2010,1/22/2010,443,,,,,,,,,,
0,6,2010,6/11/2010,444,,,,,,,,,,
0,1,2010,1/19/2010,445,,,,,,,,,,
0,5,2010,5/3/2010,446,,,,,,,,,,
0,12,2010,12/12/2010,447,,,,,,,,,,
0,1,2010,1/25/2010,448,,,,,,,,,,
0,6,2010,6/4/2010,449,,,,,,,,,,
0,12,2010,12/10/2010,450,,,,,,,,,,
0,12,2010,12/12/2010,451,,,,,,,,,,
0,3,2010,3/11/2010,452,,,,,,,,,,
0,3,2010,3/30/2010,453,,,,,,,,,,
0,1,2010,1/20/2010,454,,,,,,,,,,
0,2,2010,2/8/2010,455,,,,,,,,,,
0,12,2010,12/13/2010,456,,,,,,,,,,
0,5,2010,5/3/2010,457,,,,,,,,,,
0,12,2010,12/22/2010,458,,,,,,,,,,
0,3,2010,3/6/2010,459,,,,,,,,,,
0,12,2010,12/19/2010,460,,,,,,,,,,
0,12,2010,12/21/2010,461,,,,,,,,,,
,12,2010,12/16/2010,462,,,,,,,,,,
0,12,2010,12/27/2010,463,,,,,,,,,,
0,7,2010,7/23/2010,464,,,,,,,,,,
0,1,2010,1/18/2010,465,,,,,,,,,,
0,5,2010,5/24/2010,466,,,,,,,,,,
0,9,2010,9/22/2010,467,,,,,,,,,,
0,10,2010,10/10/2010,468,,,,,,,,,,
0,12,2010,12/12/2010,469,,,,,,,,,,
0,3,2010,3/30/2010,470,,,,,,,,,,
0,12,2010,12/13/2010,471,,,,,,,,,,
0,6,2010,6/23/2010,472,,,,,,,,,,
0,12,2010,12/12/2010,473,,,,,,,,,,
0,5,2010,5/3/2010,474,,,,,,,,,,
0,12,2010,12/12/2010,475,,,,,,,,,,
0,4,2010,4/20/2010,476,,,,,,,,,,
0,12,2010,12/22/2010,477,,,,,,,,,,
0,12,2010,12/19/2010,478,,,,,,,,,,
0,3,2010,3/13/2010,479,,,,,,,,,,
0,1,2010,1/21/2010,480,,,,,,,,,,
0,3,2010,3/31/2010,481,,,,,,,,,,
0,8,2010,8/1/2010,482,,,,,,,,,,
0,12,2010,12/26/2010,483,,,,,,,,,,
0,1,2010,1/21/2010,484,,,,,,,,,,
,2,2010,2/6/2010,485,,,,,,,,,,
0,12,2010,12/11/2010,486,,,,,,,,,,
0,3,2010,3/15/2010,487,,,,,,,,,,
0,12,2010,12/22/2010,488,,,,,,,,,,
0,8,2010,8/19/2010,489,,,,,,,,,,
0,5,2010,5/3/2010,490,,,,,,,,,,
0,2,2010,2/27/2010,491,,,,,,,,,,
0,3,2010,3/14/2010,492,,,,,,,,,,
0,3,2010,3/31/2010,493,,,,,,,,,,
0,12,2010,12/31/2010,494,,,,,,,,,,
0,2,2010,2/26/2010,495,,,,,,,,,,
0,5,2010,5/3/2010,496,,,,,,,,,,
0,12,2010,12/1/2010,497,,,,,,,,,,
0,7,2010,7/28/2010,498,,,,,,,,,,
0,3,2010,3/11/2010,499,,,,,,,,,,
0,7,2010,7/27/2010,500,,,,,,,,,,
0,10,2010,10/1/2010,501,,,,,,,,,,
0,12,2010,12/29/2010,502,,,,,,,,,,
0,1,2010,1/21/2010,503,,,,,,,,,,
0,2,2010,2/27/2010,504,,,,,,,,,,
0,2,2010,2/27/2010,505,,,,,,,,,,
0,12,2010,12/22/2010,506,,,,,,,,,,
0,10,2010,10/1/2010,507,,,,,,,,,,
,2,2010,2/6/2010,508,,,,,,,,,,
0,6,2010,6/4/2010,509,,,,,,,,,,
0,3,2010,3/12/2010,510,,,,,,,,,,
0,3,2010,3/14/2010,511,,,,,,,,,,
0,7,2010,7/16/2010,512,,,,,,,,,,
0,5,2010,5/3/2010,513,,,,,,,,,,
0,12,2010,12/28/2010,514,,,,,,,,,,
0,12,2010,12/12/2010,515,,,,,,,,,,
0,3,2010,3/30/2010,516,,,,,,,,,,
0,1,2010,1/12/2010,517,,,,,,,,,,
0,7,2010,7/21/2010,518,,,,,,,,,,
0,12,2010,12/12/2010,519,,,,,,,,,,
0,2,2010,2/4/2010,520,,,,,,,,,,
0,12,2010,12/22/2010,521,,,,,,,,,,
0,12,2010,12/20/2010,522,,,,,,,,,,
0,2,2010,2/27/2010,523,,,,,,,,,,
0,3,2010,3/14/2010,524,,,,,,,,,,
0,1,2010,1/21/2010,525,,,,,,,,,,
0,4,2010,4/5/2010,526,,,,,,,,,,
0,4,2010,4/25/2010,527,,,,,,,,,,
0,8,2010,8/4/2010,528,,,,,,,,,,
0,8,2010,8/8/2010,529,,,,,,,,,,
