Month,Year,ev_date,State,latitude,longitude,Landslide Count,Years
10,2009,10/13/2009 0:00,California,36.9566,-121.6815,,
5,2009,5/8/2009 0:00,Kentucky,37.5495,-83.4892,,
10,2009,10/10/2009 11:00,Washington,46.8155,-120.923,,
1,2009,1/7/2009 0:00,Washington,48.538,-121.75,,
2,2009,2/17/2009 6:30,California,36.1657,-121.675,,
11,2009,11/10/2009 9:00,Tennessee,35.0819,-84.5287,,
4,2009,4/15/2009 9:00,Utah,40.7118,-111.798,,
11,2009,11/17/2009 0:00,Washington,47.3681,-123.1595,,
5,2009,5/4/2009 0:00,Missouri,39.723,-91.3708,,
4,2009,4/15/2009 9:00,Utah,40.7676,-111.7669,,
4,2009,4/14/2009 23:00,Utah,40.6235,-111.7443,,
10,2009,10/13/2009 0:00,California,39.3138,-122.9465,,
2,2009,2/6/2009 0:00,California,34.162,-118.05,,
1,2009,1/2/2009 2:00,Oregon,45.42,-122.663,,
5,2009,5/17/2009 0:00,North Carolina,35.9993,-81.564,,
12,2009,12/9/2009 0:00,Tennessee,35.1307,-85.3186,,
12,2009,12/13/2009 0:00,California,34.2425,-117.0219,,
1,2009,1/13/2009 8:50,Washington,47.7573,-122.2072,,
11,2009,11/16/2009 0:00,Washington,47.4997,-123.0626,,
9,2009,9/26/2009 0:00,Georgia,34.8695,-85.521,,
9,2009,9/21/2009 8:00,Georgia,34.977,-85.3665,,
6,2009,6/21/2009 18:00,Idaho,43.6883,-114.3755,,
7,2009,7/31/2009 19:19,Ohio,39.1224,-84.449,,
9,2009,9/21/2009 0:00,North Carolina,35.2594,-82.7102,,
10,2009,10/17/2009 0:00,Kentucky,37.0702,-83.3777,,
9,2009,9/26/2009 0:00,Tennessee,35.7102,-83.5554,,
4,2009,4/20/2009 9:00,Virginia,37.9137,-79.4305,,
11,2009,11/17/2009 0:00,Illinois,38.898,-90.1993,,
12,2009,12/9/2009 0:00,Tennessee,35.1052,-85.3361,,
1,2009,1/8/2009 6:00,Washington,48.929,-122.037,,
11,2009,11/16/2009 0:00,Washington,47.2842,-122.6515,,
11,2009,11/22/2009 0:00,Washington,47.5944,-122.3881,,
4,2009,4/8/2009 8:00,Tennessee,35.3561,-85.2314,,
5,2009,5/8/2009 0:00,Kentucky,37.4514,-82.8836,,
12,2009,12/12/2009 0:00,Missouri,39.4052,-90.9836,,
10,2009,10/14/2009 0:00,California,37.0273,-121.8202,,
9,2009,9/11/2009 0:00,Texas,31.6632,-106.2307,,
